"F_材料番号","F_得意先番号","F_開始日","F_契約単価","F_担当者","F_依頼者","F_照会項目","F_登録日","F_更新日"
"112264","2000001","2003/08/01","32.6","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1062-16-0122","2000001","2003/08/01","9.3","0000","0000","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1062-20-0122","2000001","2003/08/01","8.4","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1062-20-0144","2000001","2003/08/01","22.1","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"110300-2","2000001","2003/08/01","1.6","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"110600-2","2000001","2003/08/01","2.2","190039","190039","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1123852-1","2000001","2003/08/01","1239","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"114020-90","2000001","2003/08/01","76.7","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"115603-1","2000001","2003/08/01","2.2","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1-170291-1","2000001","2003/08/01","3.2","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1-174939-1","2000001","2003/08/01","131.7","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1-353046-3","2000001","2003/08/01","42","100049","100049","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1-453822-0","2000001","2003/08/01","18900","100052","100052","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1-456402-4","2000001","2003/08/01","15750","100017","100017","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1500-0105","2000001","2003/08/01","2.1","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1500-0133","2000001","2003/08/01","16.1","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1500-0134","2000001","2003/08/01","12.4","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"150530-1","2000001","2003/08/01","11","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1565123-1","2000001","2003/08/01","54.6","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"1-690459-0","2000001","2003/08/01","15225","100017","100017","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170002-4","2000001","2003/08/01","1.3","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170002-5","2000001","2003/08/01","1.2","100049","100049","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170012-2","2000001","2003/08/01","2.3","100052","100052","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170099-2","2000001","2003/08/01","4.8","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170179-2","2000001","2003/08/01","3.6","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170233-1","2000001","2003/08/01","5.6","100049","100049","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170279-1","2000001","2003/08/01","2.7","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170280-1","2000001","2003/08/01","6.6","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170284-1","2000001","2003/08/01","6.6","190039","190039","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170366-1","2000001","2003/08/01","3","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170454-2","2000001","2003/08/01","4.7","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"170727-2","2000001","2003/08/01","11.7","100052","100052","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"171630-1","2000001","2003/08/01","3.3","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"171662-5","2000001","2003/08/01","12.6","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"171809-1","2000001","2003/08/01","3.6","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"171809-2","2000001","2003/08/01","3","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"171829-1","2000001","2003/08/01","93.1","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"171897-1","2000001","2003/08/01","26.8","190039","190039","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"171898-1","2000001","2003/08/01","10.1","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
"171898-2","2000001","2003/08/01","10.1","100009","","","2003/08/04 00:00:00","2003/08/04 00:00:00"
