"F_番号","F_分類名","F_払出区分","F_照会項目","F_登録日","F_更新日","F_英語名称"
"0020","電線類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","WIRE"
"0021","メスコネクタ－","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","CONNECTOR FEMALE"
"0022","オスコネクタ－","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","CONNECTOR MALE"
"0023","ﾋｭｰｽﾞｺﾈｸﾀ","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","CONNECTOR FUSE"
"0024","ｺﾈｸﾀ付属品","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","CONNECTOR ACCESSORY"
"0025","端子類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","TERMINAL"
"0026","コネクタ－アクセ","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","CONNECTOR ACCESSORY"
"0027","ﾏｰｶｰﾁｭｰﾌﾞ","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","MARKER TUBE"
"0030","スイッチ類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","SWITCH"
"0031","ヒューズ類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","FUSE"
"0035","音響機器類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","PART AUDIO"
"0036","エアコン類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","AC"
"0037","ランプ類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","LAMP"
"0038","半導体、抵抗材料","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","SEMICON RESISTER"
"0039","その他電器機器","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","OTHER ELECTRIC PART"
"0040","チュ－ブ類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","TUBE"
"0041","テ－プ類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","TABE"
"0042","電線材料","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","ELECTRIC PARTS"
"0043","配線アクセサリ－","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","WIRE ACCESSORY"
"0044","グロメット類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","GROMET"
"0045","エポキシ接着材","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","GLUE"
"0046","ワイヤ－ステッカ","1","","2002/05/23 00:00:00","2002/05/23 00:00:00","WIRE STECKER"
"0049","その他配線材料","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0050","ブラケット類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0051","ネジ、ボルト類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0058","ラベル、ステッカ","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0060","９９９","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0080","圧着機パ－ツ","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0081","梱包材料","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0082","工場消耗品","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0090","タコメ－タ－類","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0095","Ｋ９３５　部品","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0099","その他原材料","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0100","ハーネス（切断）","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0101","ハーネス（製番）","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0102","バッテリーCABLE","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0103","ハーネス BEI輸入","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0104","ハ－ネス(雑品)","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0110","ｺﾝﾄﾛｰﾗｰASSY","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0121","COT切断納入品","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0201","ﾊｰﾈｽ(製番)２","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
"0300","荷札なし","1","","2002/05/23 00:00:00","2002/05/23 00:00:00",""
