"F_得意先番号","F_得意先名称","F_得意先略称","F_敬称","F_英語名称","F_先担当部課","F_先担当","F_先担当敬称","F_経理担当部課","F_経理担当","F_経理担当敬称","F_郵便番号","F_住所１","F_住所２","F_住所３","F_英語住所１","F_英語住所２","F_電話番号","F_ＦＡＸ番号１","F_ＦＡＸ番号２","F_輸送ＬＴ","F_請求先番号","F_納品書発行","F_在庫引当区分","F_個別登録","F_検収区分","F_担当者","F_更新日付","F_更新時刻","F_照会項目","F_登録日","F_更新日","F_検査ＬＴ","F_予備ＬＴ","F_印刷Ｂ","F_切断余長区分","F_生産担当"
"1243233","株式会社ケーシーシー商会","㈱ケーシーシー商会","様","","","","","","","","651-2241","神戸市西区室谷１丁目－１","","経理課　　　　　　　　　　　　　　　御中","","","078-992-1113","078-992-1137","","1","1243233","2","2","2","1","100009","ｹｰｼｰｼｼｮｳｶｲ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","1","N",""
"1251332","郷商事株式会社","郷商事㈱","御中","Goh Syouji","建産機事業部調達","","","","","","9230811","石川県小松市白江町口50-2","滋賀県犬上郡豊郷町高野瀬217　戸田倉庫70番倉庫","（0749-35-0545）","","","0761-21-2134","0761-21-3025","080-7758-8383","3","1251332","0","2","2","1","300137","ｺﾞｳｼｮｳｼﾞ","10:35:01","","2002/07/24 00:00:00","2015/03/30 00:00:00","2","0","1","N","100149"
"12513321","西武運輸株式会社","西武運輸（株）","様","","","","","","","","555-0032","大阪市西淀川区大和田２－４－４９","","","","","06-6475-3131","06-6999-9999","","2","12513321","","2","2","1","100009","ｺﾞｳｼｮｳｼﾞ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
"1251361","株式会社神戸製鋼所大久保建設機械事業部","㈱神戸製鋼所大久保建設機械事業","様","","","","","","","","674-0063","明石市大久保町八木７４０","","","","","078-936-1331","078-","","1","1251361","1","2","2","1","100009","ｺｳﾍﾞｾｲｺｳｼｮ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","1","N",""
"1251362","株式会社神戸製鋼所高砂建設機械事業部","㈱神戸製鋼所高砂建設機械事業部","様","","","","","","","","674-0063","明石市大久保町八木７４０","","","","","078-936-1331","078-","","1","1251361","0","2","2","1","100025","ｺｳﾍﾞｾｲｺｳﾀｶ","15:53:49","","2002/07/24 00:00:00","2009/12/23 00:00:00","2","0","1","N",""
"1251363","株式会社神戸製鋼所部品管理部","㈱神戸製鋼所部品管理部","様","","","","","","","","674-0063","明石市大久保町八木７４０","","","","","078-936-1331","078-","","1","1251361","0","2","2","1","100009","ｺｳﾍﾞｾｲｺｳﾌﾞ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","1","N",""
"1251364","コベルコ・コンプレッサ株式会社","コベルコ・コンプレッサ㈱","御中","Kobelco Compressor","","","","","","","675-0155","加古郡播磨町新島４１","","","","Kobelco","0794-36-2150","0794-36-2138","","7","1251364","0","2","2","1","300137","ｺﾍﾞﾙｺ","12:54:39","","2002/07/24 00:00:00","2021/06/30 00:00:00","3","0","1","N",""
"12513651","コベルコ建機日本株式会社","コベルコ建機日本㈱","様","","","佐藤","","","","","674-0063","明石市大久保町八木740　パーツセントラル２Ｆ","","","材料売り単価×10","Kobelco","078-936-4195","078-936-4197","","3","12513651","2","2","2","2","300137","ｺﾍﾞﾙｺ","14:33:02","","2002/07/24 00:00:00","2019/03/30 00:00:00","1","0","1","N","100110"
"12513652","ｺﾍﾞﾙｺ建機ｴﾝｼﾞﾆｱﾘﾝｸﾞ㈱","コベルコエンジ","御中","Kobelco ENG","","","","","","","731-5161","広島県広島市佐伯区五日市港2丁目1番8号","","","","Kobelco","082-535-5510","082-922-8676","","2","12513652","2","2","2","1","100106","ｺﾍﾞﾙｺｹﾝｷｴﾝ","16:39:33","","2002/07/24 00:00:00","2026/05/14 13:27:54","5","0","1","N","100110"
"1251365I","神鋼コベルコ建機株式会社関東ショベル","神鋼コベルコ建機㈱関東ショベル","様","","","","","","","","272-0002","千葉県市川市二俣新町１７－１","","","","","0473-28-5031","0473-","","2","1251365I","0","2","2","1","100009","ｼﾝｺｳｺﾍﾞﾙｺｹ","11:04:01","","2002/07/24 00:00:00","2003/01/13 00:00:00","1","0","","N",""
